provider,code
eurostat,NAMQ_10_GDP
eurostat,NAMQ_10_A10
eurostat,NAMQ_10_AN6
eurostat,NAMA_10_GDP
eurostat,NAMA_10_A10
eurostat,NAMQ_10_A10_E
eurostat,NAMA_10_A64_P5
eurostat,NAMA_10_NFA_FL
eurostat,NAMA_10_A64
eurostat,NAMA_10_CO3_P3
eurostat,NAMA_10_AN6
eurostat,NAMQ_10_FCS
eurostat,NAIDQ_10_GDP
eurostat,NAMA_10_LP_ULC
eurostat,STS_INPPND_M
eurostat,STS_INPPD_M
eurostat,STS_INPP_M
eurostat,NAMQ_10_EXI
eurostat,NAMQ_10_LP_ULC
eurostat,NAMA_10_FCS
eurostat,STS_INTVND_M
eurostat,NAMA_10_PC$DV_648
eurostat,NAMA_10_PC
eurostat,STS_SETU_Q
eurostat,STS_INTVD_M
eurostat,NAMA_10_LP_A21
eurostat,STS_TRTU_M
eurostat,STS_INTV_M
eurostat,STS_INLB_Q
eurostat,STS_INPR_M
eurostat,AVIA_TF_ALA
eurostat,STS_INTV_Q
eurostat,STS_INTVND_Q
eurostat,NAIDA_10_GDP
eurostat,STS_INTVD_Q
eurostat,STS_TRLB_Q
eurostat,NAMA_10_A10_E
eurostat,STS_COLB_Q
eurostat,STS_COPR_Q
eurostat,STS_SELB_Q
eurostat,AVIA_TF_ACA
eurostat,STS_SETU_M
eurostat,STS_COPR_M
eurostat,EI_ISBR_M
eurostat,STS_TRTU_Q
eurostat,TEIIS010
eurostat,STS_INPPD_Q
eurostat,TEIIS020
eurostat,AVIA_TF_ACC
eurostat,AVIA_PAINAC
eurostat,TEIIS710
eurostat,TEIIS0
eurostat,STS_INPP_Q
eurostat,AVIA_GOINAC
statbel,NodeID4135
eurostat,TEIIS170
statbel,NodeID4136
eurostat,EI_ISIND_Q
eurostat,TEIIS180
eurostat,STS_INPPND_Q
eurostat,TEIIS150
eurostat,TEIIS160
eurostat,TEIIS190
eurostat,TEIIS060
eurostat,STS_INPI_M
eurostat,TEIIS080
statbel,NodeID77
eurostat,TEIIS040
eurostat,TEIIS050
eurostat,TEIIS070
eurostat,TEIIS030
eurostat,AVIA_PAOA
eurostat,NAMQ_10_PC
eurostat,AVIA_PAOAC
statbel,NodeID555
eurostat,AVIA_GOOA
eurostat,TEIIS260
statbel,NodeID4759
eurostat,STS_INPR_Q
bestat,a978d89e-d64a-4409-8dee-ed36decf0525
eurostat,EI_ISIR_M
statbel,NodeID595
